t2m,ts,al2,swd,date,dailyQ,runoff
2.7062864,-0.1556921,0.6087936,294.8134,2008-06-08,402498.0,11.734635568513118
3.1433601,-0.2447194,0.5957949,363.03473,2008-06-09,1229355.0,35.84125364431487
2.5273046,-0.29545856,0.53956985,347.40027,2008-06-10,1283779.8,37.42798250728863
2.4990752,-0.19869827,0.5161041,337.79312,2008-06-11,1252474.2,36.515282798833816
3.534085,-0.4345277,0.5213006,285.55402,2008-06-12,1264480.2,36.86531195335277
5.0383935,0.0,0.48698676,85.00153,2008-06-13,1507062.5999999999,43.93768513119533
1.5161319,-0.053413287,0.44785303,309.1895,2008-06-14,1443331.8,42.0796443148688
1.3419365,-0.8302453,0.4463802,369.92053,2008-06-15,1143685.8,33.34360932944606
2.9025512,-0.5212804,0.45094427,340.2456,2008-06-16,1051255.8,30.648857142857146
3.7254534,-0.0010149213,0.45103616,190.14351,2008-06-17,1257136.2,36.651201166180755
3.9832568,0.0,0.45160568,151.6781,2008-06-18,1403274.6,40.911795918367346
0.5463096,-0.15993108,0.47064203,317.33575,2008-06-19,1174501.8,34.24203498542274
0.86377823,-1.0936404,0.49492937,367.32532,2008-06-20,1010329.2,29.455661807580174
1.1192132,-1.2525543,0.5108769,367.97394,2008-06-21,1047763.8,30.547049562682215
1.3218088,-1.1122789,0.51009846,369.73422,2008-06-22,1131912.0,33.0003498542274
1.5135448,-0.90550363,0.50910604,372.32062,2008-06-23,1217158.2,35.48566180758017
1.700232,-0.99000645,0.5082997,375.52515,2008-06-24,1179759.6,34.39532361516035
2.0134902,-0.5529747,0.48675764,359.8115,2008-06-25,1083546.0,31.590262390670553
1.5711769,-0.7333586,0.44628268,366.61334,2008-06-26,1131969.6,33.00202915451896
1.6750773,-0.9849988,0.44641972,360.72424,2008-06-27,1031376.6,30.06928862973761
2.233058,-0.35035262,0.445555,358.03064,2008-06-28,1294801.2,37.74930612244898
2.191581,-0.139168,0.48676467,316.99033,2008-06-29,1191715.2,34.7438833819242
1.4141539,-0.8060484,0.51675504,358.08566,2008-06-30,1103526.0,32.172769679300295
1.2793792,-1.0689251,0.5217217,349.53558,2008-07-01,1024050.6,29.855702623906705
1.5328779,-0.88115764,0.514297,358.3064,2008-07-02,1000173.6,29.15958017492711
1.7605708,-0.9339416,0.5157101,364.7616,2008-07-03,1030491.0,30.043469387755103
4.8401604,0.0,0.514316,360.8697,2008-07-04,1314153.0,38.313498542274054
3.9138346,-0.019575331,0.45129392,355.92615,2008-07-05,1469475.0,42.84183673469388
3.3064723,0.0,0.45070308,309.0583,2008-07-06,1485082.8,43.296874635568514
2.4525335,-0.24851015,0.44787776,347.40576,2008-07-07,1346239.8,39.24897376093295
3.549419,-0.08633338,0.4480176,337.08804,2008-07-08,1291883.4,37.66423906705539
3.5576038,-0.049375217,0.4515086,264.22186,2008-07-09,1421802.0,41.45195335276968
3.4054258,-0.015649477,0.45453215,307.2142,2008-07-10,1299072.6,37.87383673469388
2.8077817,-0.07725294,0.4464702,331.79904,2008-07-11,1196346.6,34.87890962099126
1.9451667,-0.066240735,0.4517513,133.87671,2008-07-12,1061485.2,30.947090379008745
1.7227069,-0.020568954,0.44578397,309.18445,2008-07-13,1021053.6,29.768326530612242
2.1199872,-0.3639181,0.44604743,338.46573,2008-07-14,1055028.6,30.758851311953357
2.0068212,-0.48715538,0.44737315,341.43134,2008-07-15,1202803.2,35.06714868804665
2.1480668,-0.6835293,0.44748372,342.37015,2008-07-16,1108668.6,32.32269970845481
2.0787046,-0.6838058,0.44852158,320.9894,2008-07-17,1086859.8,31.68687463556851
