t2m,ts,al2,swd,date,dailyQ,time,runoff
4.334596,-0.1313769,0.6114946,268.07437,2019-07-15,40063164.174720004,2019-07-15,10.766854001396505
4.384753,-0.2650774,0.6155379,299.69635,2019-07-16,35538295.50144,2019-07-16,9.550809253452204
4.3979697,-0.7076288,0.6164107,334.60098,2019-07-17,33104580.966720004,2019-07-17,8.89675584513601
3.0449321,-0.7814091,0.6212893,291.1154,2019-07-18,31421679.952320002,2019-07-18,8.44448129583118
2.1641376,-0.8047193,0.63124686,239.02115,2019-07-19,27742807.73088,2019-07-19,7.455795531389446
2.2226229,-0.37879857,0.6570698,216.31749,2019-07-20,30158022.522239998,2019-07-20,8.104877189722245
1.6389049,-0.58515,0.66073954,228.00145,2019-07-21,27561376.215359997,2019-07-21,7.407036361236615
1.803058,-0.66907454,0.66202706,228.94844,2019-07-22,27218356.61184,2019-07-22,7.314850881961687
3.155339,-0.28636506,0.6471405,180.8466,2019-07-23,32003117.73792,2019-07-23,8.600740939256966
3.8502755,-0.88165176,0.64056975,288.30765,2019-07-24,25978064.46336,2019-07-24,6.981526124498096
3.924924,-1.5007867,0.637465,328.04337,2019-07-25,27286827.60096,2019-07-25,7.3332522528561865
3.7951627,-1.3652436,0.6356357,320.67014,2019-07-26,25006577.63616,2019-07-26,6.720441982788128
3.0606637,-1.2064501,0.63852316,288.25095,2019-07-27,25357186.615679998,2019-07-27,6.814667083871193
2.1830144,-1.7487183,0.63810986,304.23337,2019-07-28,25453354.43808,2019-07-28,6.840511894802688
2.7474658,-1.4020835,0.6370614,296.09955,2019-07-29,24664396.22496,2019-07-29,6.628481765159911
4.320376,-1.0675405,0.63051605,292.4254,2019-07-30,28030637.35584,2019-07-30,7.533148871123319
5.1975965,-0.15783969,0.61346954,277.047,2019-07-31,31345968.608639996,2019-07-31,8.42413410158319
4.68651,-0.047882576,0.6005376,258.83707,2019-08-01,38373880.68864,2019-08-01,10.312864182163242
3.9406195,-0.11416463,0.60564506,230.26689,2019-08-02,39272598.999359995,2019-08-02,10.554392005519984
3.0923529,-1.0145606,0.61279684,280.7527,2019-08-03,29311975.967040002,2019-08-03,7.877504741093467
3.9916358,-0.52602184,0.6108096,233.34558,2019-08-04,22580338.68864,2019-08-04,6.068397615884791
3.5855944,-0.44909102,0.6113349,252.54431,2019-08-05,24565904.15616,2019-08-05,6.602012320049676
3.4027631,-1.0124172,0.61292696,232.8516,2019-08-06,24365126.66976,2019-08-06,6.5480539788310805
4.082662,-0.040808436,0.60044694,117.0822,2019-08-07,30872707.75296,2019-08-07,8.296946680353546
3.4886756,-0.022624712,0.5972436,167.30893,2019-08-08,39044490.281279996,2019-08-08,10.493088478586811
2.7056715,-0.8560591,0.6157421,220.8676,2019-08-09,31389055.60608,2019-08-09,8.435713601613987
3.5172648,-0.5472344,0.61200064,200.91768,2019-08-10,24513012.43488,2019-08-10,6.587797830190094
3.471472,-0.33388054,0.61194265,182.76326,2019-08-11,27782800.90848,2019-08-11,7.46654357671091
2.603055,-1.2552145,0.6157203,235.19275,2019-08-12,29997630.56448,2019-08-12,8.061772336978493
2.8951795,-1.3618326,0.6154124,216.89545,2019-08-14,13530576.743999999,2019-08-14,3.6363015093367124
2.584898,-1.9619849,0.622217,228.38191,2019-08-15,14146135.263360001,2019-08-15,3.8017309965924144
2.065148,-2.4019163,0.6244268,221.859,2019-08-16,11057042.22048,2019-08-16,2.9715465996643835
1.735634,-2.4443996,0.62322754,215.30826,2019-08-17,8905922.01504,2019-08-17,2.3934395612282864
0.5566217,-2.8735485,0.6261428,195.47833,2019-08-18,8459186.907168001,2019-08-18,2.2733808543628156
-0.107333705,-1.1117493,0.68209326,100.669334,2019-08-19,7726860.303264,2019-08-19,2.0765702981325047
-1.9402103,-3.1406903,0.77464306,138.39043,2019-08-20,9931096.29888,2019-08-20,2.668952044265171
-3.0061002,-5.0741267,0.766906,149.77101,2019-08-21,9098736.76512,2019-08-21,2.4452579411838333
-1.4117501,-3.22094,0.7455449,124.174126,2019-08-22,6532465.874688,2019-08-22,1.7555804138468842
-2.1186233,-4.318453,0.73595417,147.34717,2019-08-23,6695726.813568001,2019-08-23,1.799456296575115
