t2m,ts,al2,swd,date,dailyQ,time,runoff
6.0452003,0.6000576,0.48107752,170.84348,2019-07-15,2411173.704384,2019-07-15,10.89122122575455
7.219864,0.61926305,0.48081365,278.91086,2019-07-16,2077375.768992,2019-07-16,9.383462928438856
7.708693,0.661428,0.48347697,330.38828,2019-07-17,2012326.9464959998,2019-07-17,9.089638756837012
5.0199127,0.7115058,0.48248324,213.17114,2019-07-18,3424835.946816,2019-07-18,15.46991238784228
5.093963,0.64706385,0.48493955,195.18405,2019-07-19,1860276.9744000002,2019-07-19,8.402832210939312
4.470271,0.67597854,0.4819334,147.08615,2019-07-20,1535215.666176,2019-07-20,6.93453707593358
3.959181,0.68215835,0.48158285,203.24452,2019-07-21,1392410.169216,2019-07-21,6.289487631002557
4.2853637,0.5956701,0.4861038,221.0227,2019-07-22,1910975.9820480002,2019-07-22,8.631838568804207
5.558871,0.69908184,0.47883302,281.05075,2019-07-23,2107545.035904,2019-07-23,9.51973687649992
6.7053714,0.6646886,0.48141712,291.0115,2019-07-24,3030942.3289920003,2019-07-24,13.690703149066183
8.77249,0.6461763,0.48040754,312.82254,2019-07-25,2852077.05504,2019-07-25,12.882772445162745
8.2466345,0.54498804,0.48509574,311.26834,2019-07-26,1957961.642976,2019-07-26,8.844071817149073
6.2638617,0.7819958,0.4824586,282.9871,2019-07-27,2500565.28624,2019-07-27,11.295001132587338
5.670082,0.41039276,0.4834631,292.94455,2019-07-28,2236314.801024,2019-07-28,10.101387214076354
6.2795153,0.3086514,0.48464903,293.01108,2019-07-29,1858416.263136,2019-07-29,8.394427417051325
7.961765,0.5838256,0.48703718,285.17233,2019-07-30,2783205.1293120002,2019-07-30,12.571679396170236
8.2534895,0.76491576,0.48080656,257.9633,2019-07-31,2346932.6622719998,2019-07-31,10.60104578126348
7.4852753,0.7946865,0.4796567,235.22624,2019-08-01,3021698.919168,2019-08-01,13.648950860091542
7.400821,0.82263577,0.47865155,249.43272,2019-08-02,3445836.044832,2019-08-02,15.564769391648738
6.7056165,0.08127291,0.48996586,253.98215,2019-08-03,2018011.9636799998,2019-08-03,9.115317860632222
6.407496,0.6057083,0.48270255,174.93297,2019-08-04,1272690.468,2019-08-04,5.74871624292133
7.248348,0.46891886,0.46703455,239.62459,2019-08-05,2142177.821856,2019-08-05,9.676172446770789
7.1129236,0.31395394,0.46363994,255.24094,2019-08-06,1507613.1549119998,2019-08-06,6.8098571094857006
6.9695935,0.36759943,0.46742696,241.87971,2019-08-07,1163447.8917120001,2019-08-07,5.255269809153117
6.8703294,0.6675502,0.46363264,203.63525,2019-08-08,1396601.728704,2019-08-08,6.308420817600319
6.529496,0.45337242,0.46889618,241.94887,2019-08-09,1562795.633952,2019-08-09,7.059115213917354
5.3588486,0.09006034,0.47023678,233.37862,2019-08-10,934553.217024,2019-08-10,4.221357347810552
5.3270917,0.041585855,0.4691016,231.88194,2019-08-11,953176.354272,2019-08-11,4.305477669509804
7.4988365,0.042854514,0.4681407,232.10466,2019-08-12,855906.9433632001,2019-08-12,3.8661137735033106
7.3192153,-0.13083056,0.46747094,222.72038,2019-08-14,1209980.0684159999,2019-08-14,5.465454678736636
7.5762305,0.26992226,0.4697446,225.70284,2019-08-15,657846.3107520001,2019-08-15,2.9714780357464696
6.051227,0.20696776,0.4723187,219.38667,2019-08-16,496593.5008032,2019-08-16,2.2431024636200245
4.011992,-0.52016556,0.47114918,209.70741,2019-08-17,409025.86139519996,2019-08-17,1.8475612667018688
4.921227,0.026737316,0.47079188,200.02043,2019-08-18,443943.34303680004,2019-08-18,2.0052828014521187
4.254085,0.14282942,0.47056052,167.37013,2019-08-19,423031.3737984,2019-08-19,1.910823873492063
2.4778824,0.537811,0.4674205,119.567696,2019-08-20,462895.3420992,2019-08-20,2.0908885850933365
2.1938717,-0.5961277,0.47164014,134.10417,2019-08-21,356723.59115520003,2019-08-21,1.6113130052193696
2.443379,0.09308883,0.500618,108.09136,2019-08-22,297470.6089632,2019-08-22,1.3436685231294172
1.5747879,-0.24470489,0.5110216,139.73744,2019-08-23,205797.1936032,2019-08-23,0.9295816220526146
1.7221078,0.26299223,0.53179413,73.54969,2019-08-24,93925.6130592,2019-08-24,0.4242600310099649
2.4113,0.47995812,0.53757215,94.09038,2019-08-25,159132.0894624,2019-08-25,0.71879632201544
2.0196478,-0.2905189,0.5480146,123.800125,2019-08-26,146411.9790624,2019-08-26,0.6613398492069766
0.8364706,-1.48079,0.5412443,85.68065,2019-08-27,109247.23817279999,2019-08-27,0.4934674914044146
0.57947433,-0.89602816,0.57516533,77.95894,2019-08-28,86053.5258912,2019-08-28,0.38870197780988847
3.3907292,0.5278571,0.52824455,102.69059,2019-08-29,447584.4316224,2019-08-29,2.0217295224893617
4.2315354,0.43186313,0.5034532,66.60269,2019-08-30,1322581.143168,2019-08-30,5.97407137986936
6.123025,0.35210052,0.5096559,113.03127,2019-08-31,706036.0512384,2019-08-31,3.1891500862896587
6.31928,-0.027668731,0.5127183,147.9097,2019-09-01,306258.665904,2019-09-01,1.3833639926481647
4.2242637,-0.45043987,0.51905006,146.45874,2019-09-02,225163.138176,2019-09-02,1.0170571889122617
1.6448066,-1.4399148,0.5158785,117.989,2019-09-03,72710.7361344,2019-09-03,0.3284328753616406
1.0824325,-2.4186018,0.5162828,122.0266,2019-09-04,45744.5010816,2019-09-04,0.20662695526067712
1.0051457,-1.6077818,0.5175046,117.62301,2019-09-05,28449.2758464,2019-09-05,0.12850478436800009
-0.012455259,-3.7624524,0.5179639,128.7628,2019-09-06,25018.249507200002,2019-09-06,0.11300691010714728
-1.4201052,-4.8046417,0.5211178,126.32357,2019-09-07,20366.1369792,2019-09-07,0.09199341505391692
-3.0007586,-5.2847366,0.5191148,113.460556,2019-09-08,17931.894048,2019-09-08,0.08099799061281403
-1.8425462,-4.099309,0.52471507,99.82966,2019-09-09,15103.040025600001,2019-09-09,0.06822011612069188
-2.4508421,-5.09825,0.5256644,97.87092,2019-09-10,12700.9561248,2019-09-10,0.05736995334773648
-3.27074,-5.052894,0.52537847,97.077446,2019-09-11,13018.3198272,2019-09-11,0.058803478558126066
-3.5435488,-5.6986794,0.52146834,92.41579,2019-09-12,15385.1692896,2019-09-12,0.06949448810927837
-5.35775,-7.9881935,0.52187604,99.08754,2019-09-13,13606.3370592,2019-09-13,0.061459540104676476
-5.2486825,-8.717803,0.5206963,93.28174,2019-09-14,14262.122476800001,2019-09-14,0.06442170912913096
-5.412581,-7.8830914,0.5188551,89.80846,2019-09-15,14538.785644799998,2019-09-15,0.0656713908763346
-5.3901925,-7.342443,0.5187201,78.84328,2019-09-16,14077.680336,2019-09-16,0.06358858783423951
-3.4221675,-4.9825125,0.53222054,72.43053,2019-09-17,15368.775235199999,2019-09-17,0.06942043650821254
-5.2744064,-7.804278,0.5334723,75.31341,2019-09-18,13893.2381952,2019-09-18,0.06275546653934808
-5.993125,-8.667821,0.52848774,60.35349,2019-09-19,14815.448899199999,2019-09-19,0.06692107301380523
-5.8688617,-9.276964,0.53366125,76.899574,2019-09-20,14999.89104,2019-09-20,0.06775419430869667
-4.902662,-8.860815,0.5299858,50.646423,2019-09-21,15645.4384896,2019-09-21,0.07067011864568319
-2.1152806,-5.784587,0.5275063,57.025654,2019-09-22,15922.1016576,2019-09-22,0.07191980039288684
-2.3850834,-4.874709,0.5272725,37.593243,2019-09-23,16014.3227712,2019-09-23,0.07233636123546605
