t2m,ts,al2,swd,date,dailyQ,runoff
1.0969031,-0.7297902,0.49979174,329.69135,2015-07-20,220.82,12.174027535735119
0.44273883,-0.6019784,0.49829817,283.33563,2015-07-21,249.64,13.76290297084012
0.5645146,0.0,0.52792114,180.49785,2015-07-22,338.93399999999997,18.68577053164046
0.20049636,-0.121986024,0.54424024,226.45398,2015-07-23,121.382,6.691911105618153
-0.010102376,-1.4244856,0.54279137,353.048,2016-07-05,73.91,4.074732248737354
0.8379884,-1.3791972,0.5749194,370.4345,2016-07-06,251.5,13.865446631814976
0.006471157,-1.5216594,0.5749941,362.8491,2016-07-07,361.0,19.90229118920559
-0.62116706,-1.8501886,0.5793375,361.47418,2016-07-08,360.06,19.850468048712923
-0.24142794,-1.2037116,0.5744573,356.33566,2016-07-09,382.43,21.083748530437383
-0.5533153,-1.5992212,0.5724595,355.03268,2016-07-10,430.54,23.73610096565256
-0.3558656,-1.8412201,0.5752158,355.10806,2016-07-11,370.94,20.450293334415296
-0.5159831,-1.8048773,0.5804538,338.31302,2016-07-12,360.47,19.87307175892781
0.05423318,-1.6898842,0.57356936,349.37103,2016-07-13,122.88,6.774497344403278
-16.361137,-19.027336,0.8097845,0.0,2015-01-01,,4.309348305308507e-15
-24.342703,-25.757797,0.8097845,0.0,2015-01-02,,4.3121316555731846e-15
-25.154968,-27.59713,0.8105452,0.01819874,2015-01-03,,4.3117365147032904e-15
-24.633465,-27.520828,0.816512,0.058778085,2015-01-04,,4.312594559078859e-15
-30.908117,-34.053307,0.81475586,0.10627905,2015-01-05,,4.312956242147337e-15
-34.253677,-36.80423,0.81496835,0.16218083,2015-01-06,,4.312956242147337e-15
-35.154354,-37.90428,0.8132545,0.22431153,2015-01-07,,4.312956242147337e-15
-22.4358,-25.286121,0.80988914,0.0,2016-01-01,,4.309348305308507e-15
-16.489101,-18.785072,0.8102529,0.0,2016-01-02,,4.3121316555731846e-15
-12.565038,-14.980903,0.8098974,0.0,2016-01-03,,4.3117365147032904e-15
-12.103034,-14.45289,0.8099495,0.060675245,2016-01-04,,4.312594559078859e-15
-8.450679,-11.579954,0.80996287,0.107974365,2016-01-05,,4.312956242147337e-15
-12.424325,-16.259813,0.8100697,0.0,2016-01-06,,4.312956242147337e-15
-14.204679,-16.941507,0.80996805,0.2302658,2016-01-07,,4.312956242147337e-15
