mlp_type,training_size,predictors,nodes,activation,dropout,optimizer,learning_rate,epochs,MSE,R^2,observed_total_runoff,predicted_total_runoff,proportion_runoff_predicted
N1_random_year,1,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,9.513831384176191,0.9656682027423625,3358.812162739386,3135.0378,0.9333769469382875
N2_random_year,2,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,7.571578128262584,0.9726770556757789,3358.8121627393866,3303.984,0.9836762899012728
N3_random_year,3,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,9.254770952755274,0.9666030532615563,3358.812162739386,3134.0642,0.9330870727907241
N4_random_year,4,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,17.88022413550208,0.935477074886762,3358.8121627393866,2870.1987,0.8545279079041644
N5_random_year,5,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,10.269584744811235,0.9629409764434756,3358.8121627393866,3004.4758,0.8945054633920727
N6_random_year,6,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,11.450010848891859,0.9586812678101775,3358.812162739386,2918.6472,0.8689521995825094
N7_random_year,7,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,11.056145662272536,0.9601025773949097,3358.812162739386,2910.0713,0.8663989375008988
N8_random_year,8,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,19.897239448622777,0.9281984341373805,3358.8121627393866,2844.2886,0.8468138247716119
N9_random_year,9,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,11.122785476292451,0.959862099663927,3358.812162739386,2994.8835,0.8916496070084796
N10_random_year,10,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,8.355413219064921,0.9698484930983923,3358.812162739386,3044.1367,0.9063134737094847
N11_random_year,11,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,5.749888446910238,0.9792508405455151,3358.812162739386,3089.9404,0.919950351485985
N12_random_year,12,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,6.923877400947874,0.9750143611372545,3358.812162739386,3197.3633,0.9519327447719758
N13_random_year,13,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,6.760550478535292,0.9756037458509997,3358.812162739386,3147.5186,0.9370927584472128
N14_random_year,14,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,5.994237859408088,0.9783690764957704,3358.812162739386,3215.0205,0.9571897301903265
N15_random_year,15,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,9.44844524387656,0.9659041564419373,3358.8121627393866,3131.7456,0.9323967681820453
N16_random_year,16,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,6.932912934256705,0.9749817553357486,3358.812162739386,3161.0078,0.9411088382870268
N17_random_year,17,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,6.805473316104705,0.9754416364242722,3358.812162739386,3128.422,0.931407285541428
N18_random_year,18,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,7.801950550311515,0.9718457292660331,3358.812162739386,3225.19,0.9602174176884735
N19_random_year,19,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,9.086539237391218,0.967210137506689,3358.812162739386,3059.4924,0.9108852425809244
N20_random_year,20,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,7.542347951522312,0.9727825362609531,3358.812162739386,3080.1104,0.9170236983572246
N21_random_year,21,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,7.331304324465291,0.973544112404576,3358.812162739386,3124.9868,0.9303845124395309
N1_random_year,1,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,34.55997051148158,0.8752862172012463,3358.812162739386,3541.9336,1.0545196998635564
N2_random_year,2,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,39.02463341091073,0.8591749476929555,3358.8121627393866,2826.688,0.8415737026436912
N3_random_year,3,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,35.76797977699683,0.8709269714342889,3358.812162739386,2922.111,0.8699834770162183
N4_random_year,4,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,38.6868529901015,0.8603938686992822,3358.8121627393866,2945.5771,0.8769698946293979
N5_random_year,5,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,43.89297795945475,0.8416069447221514,3358.8121627393866,2826.5752,0.8415401214360246
N6_random_year,6,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,37.379073404487315,0.8651131475868249,3358.812162739386,3026.8076,0.9011541790770731
N7_random_year,7,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,32.35066403997497,0.8832587635705154,3358.812162739386,3425.5842,1.0198796665431211
N8_random_year,8,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,46.47509750401234,0.8322890578352575,3358.8121627393866,2804.207,0.8348805754481189
N9_random_year,9,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,32.31824667380181,0.883375745509562,3358.812162739386,3391.853,1.0098370682858955
N10_random_year,10,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,33.29943366553038,0.8798350150181762,3358.812162739386,3252.8296,0.9684464126719136
N11_random_year,11,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,35.07535223115532,0.8734264006882524,3358.812162739386,2936.144,0.8741614299068408
N12_random_year,12,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,32.67630820239341,0.882083637702626,3358.812162739386,3259.6018,0.9704626661772455
N13_random_year,13,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,37.04177018423544,0.8663303465579246,3358.812162739386,3025.4,0.9007350681606109
N14_random_year,14,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,32.950750104781754,0.8810932813076758,3358.812162739386,3518.2087,1.0474562344578948
N15_random_year,15,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,32.75391259714093,0.8818035929720451,3358.8121627393866,3147.3657,0.9370472566376904
N16_random_year,16,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,32.74484525963841,0.8818363135427839,3358.812162739386,3210.4233,0.9558210415748248
N17_random_year,17,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,33.50696092750861,0.8790861280980737,3358.812162739386,3151.4146,0.9382526911570469
N18_random_year,18,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,32.91931443124303,0.8812067206915589,3358.812162739386,3287.7092,0.9788309286799263
N19_random_year,19,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,34.76853145183219,0.8745336001292339,3358.812162739386,2978.479,0.8867655765176986
N20_random_year,20,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,33.83637439511262,0.8778974002420675,3358.812162739386,3068.3042,0.9135087199149288
N21_random_year,21,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,45.29833849159871,0.8365355333301331,3358.812162739386,2713.622,0.8079112313620179
N1_random_year,1,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,36.765146620231185,0.8673285757394797,3358.812162739386,3169.5698,0.9436579572326267
N2_random_year,2,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,24.010273613623202,0.913356058929702,3358.8121627393866,3231.4292,0.9620749963532509
N3_random_year,3,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,28.785591542307706,0.896123753631435,3358.812162739386,2840.617,0.8457206910441277
N4_random_year,4,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,34.91780695418468,0.8739949216436322,3358.8121627393866,2992.0154,0.8907956848706721
N5_random_year,5,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,33.861391910538096,0.8778071215485744,3358.8121627393866,2826.3206,0.8414643093156865
N6_random_year,6,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,34.27719319611855,0.8763066529298267,3358.812162739386,2848.4895,0.8480645430407007
N7_random_year,7,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,26.95315844551832,0.9027363073993937,3358.812162739386,3057.5312,0.9103013511497866
N8_random_year,8,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,19.645817518678122,0.9291057202113528,3358.8121627393866,3435.6565,1.022878424775789
N9_random_year,9,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,24.718171153291248,0.9108015260785641,3358.812162739386,2951.128,0.8786224970915354
N10_random_year,10,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,37.57015709507284,0.8644235992587628,3358.812162739386,2723.7507,0.8109267801985192
N11_random_year,11,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,20.9487323062031,0.9244039965289587,3358.812162739386,3336.2795,0.9932914909700148
N12_random_year,12,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,21.53504386029714,0.9222882212337977,3358.812162739386,3267.2021,0.9727254726185192
N13_random_year,13,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,28.551846378337945,0.8969672509833757,3358.812162739386,3050.8716,0.9083186061655245
N14_random_year,14,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,30.123396773956564,0.8912961236127269,3358.812162739386,2998.5647,0.8927455755132344
N15_random_year,15,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,20.476867379560677,0.9261067774949344,3358.8121627393866,3289.9448,0.9794965198457333
N16_random_year,16,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,23.12334631888105,0.9165566420424106,3358.812162739386,3050.859,0.9083148264624971
N17_random_year,17,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,24.9163302026281,0.9100864454730875,3358.812162739386,3100.638,0.9231352600927528
N18_random_year,18,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,23.502451949031148,0.915188594080662,3358.812162739386,3275.2112,0.9751099564226368
N19_random_year,19,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,23.577410671581525,0.9149180965743081,3358.812162739386,3091.1096,0.92029844759749
N20_random_year,20,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,20.179880694771747,0.9271784894308165,3358.812162739386,3489.5173,1.0389141056159532
N21_random_year,21,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,24.040643860062264,0.9132464642668047,3358.812162739386,3251.476,0.9680434381799146
N1_random_year,1,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,42.99057382099705,0.8448633778745732,3358.812162739386,2853.7385,0.8496273048693403
N2_random_year,2,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,49.625927077220354,0.8209189128607876,3358.8121627393866,2534.0168,0.7544383915879436
N3_random_year,3,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,57.79627865326275,0.7914352230090995,3358.812162739386,2382.205,0.7092403393532185
N4_random_year,4,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,32.44668192421896,0.882912271563052,3358.8121627393866,3250.011,0.9676072459132322
N5_random_year,5,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,29.16485557958503,0.8947551340386414,3358.8121627393866,3196.3528,0.9516318949483134
N6_random_year,6,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,36.295373285033456,0.8690238089478249,3358.812162739386,2890.6597,0.860619626198799
N7_random_year,7,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,35.2995893294354,0.8726172143273718,3358.812162739386,2887.982,0.8598223996064026
N8_random_year,8,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,27.287884296078122,0.9015284091747706,3358.8121627393866,3378.0588,1.005730202886827
N9_random_year,9,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,32.731423195431844,0.8818847486651349,3358.812162739386,3057.1826,0.9101975546897262
N10_random_year,10,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,33.02418728174749,0.8808282744803576,3358.812162739386,2874.58,0.8558323415682003
N11_random_year,11,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,30.629069343459015,0.8894713437281705,3358.812162739386,3171.0923,0.9441112308495289
N12_random_year,12,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,37.13229152394682,0.8660036894881316,3358.812162739386,2969.3545,0.884048987653346
N13_random_year,13,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,30.928740799347423,0.8883899434750008,3358.812162739386,3129.3218,0.9316751356501972
N14_random_year,14,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,31.166070213621236,0.8875335119275934,3358.812162739386,3096.9646,0.9220416175590918
N15_random_year,15,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,31.90779087974055,0.884856924283486,3358.8121627393866,3025.6262,0.900802448635734
N16_random_year,16,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,25.846244672408048,0.9067307380031686,3358.812162739386,3346.289,0.9962715687473358
N17_random_year,17,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,30.708612211170525,0.8891843037862913,3358.812162739386,3390.2744,1.0093670767517566
N18_random_year,18,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,26.6779164985353,0.9037295508508527,3358.812162739386,3540.9824,1.0542365128828874
N19_random_year,19,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,27.320350399221716,0.9014112513625432,3358.812162739386,3585.8691,1.0676003798022544
N20_random_year,20,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,30.21054905909455,0.8909816241788949,3358.812162739386,3196.5723,0.9516972401987296
N21_random_year,21,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,27.52937318626863,0.9006569676615458,3358.812162739386,3260.9785,0.9708725458959292
N1_random_year,1,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,37.51869868541488,0.8646092930782387,3358.812162739386,3222.3604,0.9593749800329416
N2_random_year,2,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,38.11430069343785,0.8624599920700564,3358.8121627393866,2856.174,0.8503524263578291
N3_random_year,3,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,38.413676282932066,0.8613796594861202,3358.812162739386,2736.1396,0.8146152615470924
N4_random_year,4,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,25.278670740662204,0.9087788963493244,3358.8121627393866,3448.5083,1.0267047199116692
N5_random_year,5,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,22.191720058878175,0.9199185267118728,3358.8121627393866,3093.527,0.9210181902778243
N6_random_year,6,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,23.061398063235988,0.9167801897244525,3358.812162739386,3084.94,0.9184615846127665
N7_random_year,7,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,25.465100230086872,0.9081061432622328,3358.812162739386,3158.2793,0.9402964928825209
N8_random_year,8,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,28.965658840925993,0.8954739592700197,3358.8121627393866,3030.017,0.9021097170770404
