mlp_type,training_size,predictors,nodes,activation,dropout,optimizer,learning_rate,epochs,MSE,R^2,observed_total_runoff,predicted_total_runoff,proportion_runoff_predicted
N1_random_year,1,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,1.873167592910982,0.635144453506521,291.4553639226843,205.41435,0.7047883753187105
N2_random_year,2,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,1.3486525954918882,0.7373094742722116,291.4553639226843,308.89664,1.0598420039537617
N3_random_year,3,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,1.572455741957591,0.6937171018546386,291.4553639226843,239.39734,0.8213859427568935
N4_random_year,4,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,1.3694069922458316,0.7332669332852437,291.4553639226843,272.68774,0.9356072246210646
N5_random_year,5,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,1.3686612803222713,0.7334121830388842,291.4553639226843,272.50574,0.9349827487717
N6_random_year,6,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,1.427789117101873,0.7218952641668929,291.4553639226843,256.4266,0.8798143282503899
N7_random_year,7,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,1.3800621925687822,0.7311915135782511,291.45536392268434,289.48557,0.9932415080284471
N8_random_year,8,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,1.6810504192544906,0.6725650327704893,291.4553639226843,222.68997,0.7640620125382291
N9_random_year,9,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,1.534330316214779,0.7011431715225818,291.4553639226843,253.09366,0.8683787974971184
N10_random_year,10,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,1.374756009280026,0.7322250518537051,291.4553639226843,299.02765,1.0259809423342976
N11_random_year,11,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,1.4013414097827739,0.7270467480725127,291.4553639226843,271.40204,0.9311958953900564
N12_random_year,12,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,1.6856878965742728,0.6716617450303726,291.4553639226843,280.62128,0.9628276284869146
N13_random_year,13,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,1.3602585709972868,0.7350488625940907,291.4553639226843,267.75598,0.918686065137375
N14_random_year,14,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,1.3603968000977467,0.7350219383326524,291.4553639226843,311.30182,1.068094320371598
N15_random_year,15,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,1.4176367320222896,0.7238727455307826,291.45536392268434,295.61108,1.0142585128843025
N16_random_year,16,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,1.4128705567520858,0.7248011010551229,291.4553639226843,291.78314,1.0011246256124708
N17_random_year,17,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,1.3600514404617818,0.735089207475677,291.4553639226843,328.8261,1.1282211670912083
