mlp_type,training_size,predictors,nodes,activation,dropout,optimizer,learning_rate,epochs,MSE,R^2,observed_total_runoff,predicted_total_runoff,proportion_runoff_predicted
N1_random_year,1,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,17.727376439168786,0.7203504229603463,1113.4932410554404,894.9656,0.803745854194471
N2_random_year,2,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,16.601421241442026,0.7381123797783994,1113.4932410554404,947.95496,0.8513342704767161
N3_random_year,3,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,15.252127303388724,0.7593975079175561,1113.4932410554404,1017.8377,0.9140941947296952
N4_random_year,4,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,16.014913982965098,0.7473645388514907,1113.4932410554404,1025.5782,0.9210457767109601
N5_random_year,5,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,20.047093042794188,0.6837568655728932,1113.4932410554404,829.1343,0.7446244366583162
N6_random_year,6,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,18.21212836442452,0.7127034554955272,1113.4932410554404,913.7092,0.8205790523250529
N7_random_year,7,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,16.310373019092797,0.7427036689946801,1113.4932410554404,923.70996,0.8295604561209086
N8_random_year,8,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,15.32668952390175,0.7582212879900808,1113.4932410554404,1033.0808,0.9277836384239339
N9_random_year,9,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,16.67264338444034,0.7369888496139849,1113.4932410554404,974.7326,0.8753825968952937
N10_random_year,10,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,14.54494108234058,0.7705533790800493,1113.4932410554404,1044.3285,0.9378848947669012
N11_random_year,11,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,18.121259008742364,0.7141369206768856,1113.4932410554404,926.54004,0.83210207740845
N12_random_year,12,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,15.564632876803703,0.7544677287295347,1113.4932410554404,1128.35,1.0133424559599615
N13_random_year,13,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,14.824403678014592,0.7661448532642402,1113.4932410554404,1074.5752,0.965048691533995
N14_random_year,14,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,15.542241971190368,0.7548209455355179,1113.4932410554404,967.43994,0.868833240953711
N15_random_year,15,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,14.650286446837015,0.7688915546851307,1113.4932410554404,1008.06934,0.9053214683027506
N16_random_year,16,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,19.574290954776195,0.6912153242112261,1113.4932410554404,913.0158,0.8199563090657414
N17_random_year,17,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,17.649349264026558,0.7215813025888689,1113.4932410554404,843.37787,0.7574162442629073
N18_random_year,18,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,15.935440849252831,0.7486182284938873,1113.4932410554404,974.91895,0.8755499444149379
N19_random_year,19,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,17.884720133015165,0.7178683242930682,1113.4932410554404,976.95764,0.8773808457746356
N20_random_year,20,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,15.97147449559058,0.748049797288507,1113.4932410554404,1016.5719,0.9129574046183615
N21_random_year,21,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,17.831330739823752,0.7187105426142968,1113.4932410554404,852.5379,0.7656426383189727
N1_random_year,1,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,12.333515265077857,0.8054386480071353,1113.4932410554404,984.5408,0.8841910621308882
N2_random_year,2,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,13.234743353497668,0.791221764047589,1113.4932410554404,1002.8528,0.9006366147786912
N3_random_year,3,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,12.590905508491067,0.8013783138143328,1113.4932410554404,871.8447,0.7829816063688986
N4_random_year,4,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,14.361644988583944,0.7734448771687799,1113.4932410554404,889.3574,0.7987093132527773
N5_random_year,5,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,14.014855271555055,0.7789154891356218,1113.4932410554404,1011.42505,0.908335148823563
N6_random_year,6,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,13.933368679808842,0.7802009411027772,1113.4932410554404,923.27057,0.8291658492444203
N7_random_year,7,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,12.824364618932314,0.797695493532664,1113.4932410554404,1130.9786,1.015703190639306
N8_random_year,8,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,11.945240914625318,0.8115636805663519,1113.4932410554404,1007.8224,0.9050996903582762
N9_random_year,9,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,13.192194266910613,0.7918929764014488,1113.4932410554404,958.0567,0.8604063916472888
N10_random_year,10,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,13.947059053069074,0.7799849752995531,1113.4932410554404,940.74115,0.8448557343829486
N11_random_year,11,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,14.576109683015199,0.7700616940286552,1113.4932410554404,963.1568,0.8649866598233361
N12_random_year,12,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,12.574893175097507,0.8016309085666523,1113.4932410554404,1085.1508,0.9745463347468206
N13_random_year,13,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,17.837389929788774,0.7186149588195522,1113.4932410554404,854.76263,0.767640613127696
N14_random_year,14,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,13.671846600069056,0.7843264550634426,1113.4932410554404,871.784,0.782927066315821
N15_random_year,15,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,14.191193821747735,0.7761337463804892,1113.4932410554404,903.6853,0.8115768191621927
N16_random_year,16,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,12.874086063855689,0.7969111371395826,1113.4932410554404,988.1344,0.887418408105868
N17_random_year,17,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,16.647469090902227,0.7373859743980364,1113.4932410554404,853.4714,0.766480965526781
N18_random_year,18,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,12.866660538822426,0.7970282748865005,1113.4932410554404,1030.4562,0.9254265214767536
N19_random_year,19,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,14.202335682092807,0.7759579833992253,1113.4932410554404,933.48706,0.8383410209675417
N20_random_year,20,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,12.309732470625354,0.8058138218763362,1113.4932410554404,1059.4598,0.9514739738006522
N21_random_year,21,x_t2m,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,12.796423975344087,0.7981362575221057,1113.4932410554404,1013.59705,0.910285764229413
N1_random_year,1,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,12.235718819825577,0.8069813881099717,1113.4932410554404,839.3607,0.7538085430836001
N2_random_year,2,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,10.085091045406726,0.8409075671782469,1113.4932410554404,998.58704,0.8968056556735697
N3_random_year,3,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,9.704174119043305,0.8469165362837605,1113.4932410554404,1061.0093,0.9528654851448018
N4_random_year,4,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,11.874943463483795,0.8126726237055779,1113.4932410554404,901.2513,0.8093908867233154
N5_random_year,5,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,11.841818930369053,0.8131951636147946,1113.4932410554404,859.51135,0.7719053163936248
N6_random_year,6,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,11.11267555669319,0.8246974091246937,1113.4932410554404,880.3389,0.7906100331495631
N7_random_year,7,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,9.266770638111717,0.8538165814685585,1113.4932410554404,1118.1758,1.0042052704245614
N8_random_year,8,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,9.889969308345506,0.8439856149326708,1113.4932410554404,1044.9727,0.93846340302839
N9_random_year,9,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,11.297299908488862,0.8217849577493846,1113.4932410554404,972.90155,0.8737381731844103
N10_random_year,10,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,11.191882032092343,0.8234479260204012,1113.4932410554404,895.82904,0.8045213096024
N11_random_year,11,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,15.70391777189489,0.7522705078303271,1113.4932410554404,705.6305,0.6337088247569609
N12_random_year,12,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,9.537894956936604,0.8495395920705663,1113.4932410554404,1116.6736,1.0028561852121527
N13_random_year,13,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,12.124535067709619,0.8087353131399727,1113.4932410554404,881.55536,0.7917024786348267
N14_random_year,14,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,12.767000230003061,0.7986004174595773,1113.4932410554404,833.29236,0.7483587036492376
N15_random_year,15,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,12.225123814657833,0.8071485244442205,1113.4932410554404,892.0321,0.8011113777813884
N16_random_year,16,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,11.802892113528555,0.8138092346197343,1113.4932410554404,928.73694,0.834075056976768
N17_random_year,17,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,9.714349112657427,0.8467560256368334,1113.4932410554404,1044.7437,0.9382577404362822
N18_random_year,18,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,9.640409978831538,0.8479224163643074,1113.4932410554404,1161.5383,1.0431480742327133
N19_random_year,19,x_t2m_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,12.502806397424658,0.8027680783534812,1113.4932410554404,866.0402,0.7777687283912744
