mlp_type,training_size,predictors,nodes,activation,dropout,optimizer,learning_rate,epochs,MSE,R^2,observed_total_runoff,predicted_total_runoff,proportion_runoff_predicted
N1_random_year,1,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,3.179716875193579,0.9228552620945351,769.0741534394226,816.00964,1.061028562597458
N2_random_year,2,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,3.9663057665964443,0.9037714265681629,769.0741534394226,741.46173,0.964096540809616
N3_random_year,3,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,3.9742520351418578,0.9035786380815385,769.0741534394226,706.47644,0.9186064013076136
N4_random_year,4,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,4.453822323650113,0.8919435379558505,769.0741534394226,802.724,1.0437537075372088
N5_random_year,5,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,3.521167777399346,0.9145711470641222,769.0741534394226,813.1394,1.057296491710696
N6_random_year,6,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,4.668491041735405,0.8867353503582727,769.0741534394226,705.2474,0.9170082915077853
N7_random_year,7,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,5.197645423728377,0.8738972651724993,769.0741534394226,674.82684,0.8774535462462042
N8_random_year,8,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,3.8777542984093487,0.9059198190422638,769.0741534394226,830.813,1.0802768296993488
N9_random_year,9,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,5.338354520868393,0.8704834497776552,769.0741534394226,644.6269,0.8381856147511514
N10_random_year,10,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,3.8205994972273976,0.9073064809150924,769.0741534394226,852.7443,1.1087933717663763
N11_random_year,11,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,4.923476673924232,0.8805490134808207,769.0741534394226,745.41833,0.969241173464623
N12_random_year,12,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,3.6694405148689166,0.9109738263215579,769.0741534394226,799.94574,1.040141234975338
N13_random_year,13,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,4.012322019249574,0.90265500271986,769.0741534394226,710.5963,0.9239633269414427
N14_random_year,14,x_seb,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,3.5380727640506318,0.9141610065341012,769.0741534394226,773.12244,1.0052638397297715
