catchment,year,base_model_error_rate,TL_model_error_rate
Rio Behar,2015,0.381732078,0.165650797
Rio Behar,2016,0.013410721,0.170743237
AK4,2008,0.019114711,0.279857662
AK4,2009,0.055710269,0.235163983
AK4,2010,0.230097208,0.125870137
AK4,2011,0.3026901,0.047934337
AK4,2012,0.371212687,0.036277725
AK4,2013,0.428261994,0.079746887
AK4,2014,0.304542859,0.046080816
AK4,2015,0.304372154,0.024129066
AK4,2016,0.397042175,0.058159465
Minturn,2019,0.09204062,0.179911226
Minturn,2020,0.044868611,0.022830415
Minturn,2021,0.132779568,0.06018665
Minturn,2022,0.12832512,0.084578423
North,2019,2.639474883,0.480999201
North,2020,5.519470589,0.114246942
North,2021,8.296974032,0.286151481
North,2022,7.508546489,0.382483902
